news_item_id,date,headline,link,company,ticker,signal
173,2018-11-06 14:15:00+00,"Ramaco Resources, Inc. Announces a Partial Structural Failure at one of the storage silos at the Company’s Elk Creek coal complex",http://www.globenewswire.com/news-release/2018/11/06/1646155/0/en/Ramaco-Resources-Inc-Announces-a-Partial-Structural-Failure-at-one-of-the-storage-silos-at-the-Company-s-Elk-Creek-coal-complex.html,"RAMACO RESOURCES, INC.",METC.OQ,-0.8591
1941,2020-05-26 22:13:00+00,KBRA Affirms Ratings for Heritage Commerce Corp,http://www.globenewswire.com/news-release/2020/05/26/2039009/0/en/KBRA-Affirms-Ratings-for-Heritage-Commerce-Corp.html,HERITAGE COMMERCE CORP,HTBK.OQ,-0.8555
521,2020-05-12 23:35:00+00,"HAGENS BERMAN, NATIONAL TRIAL ATTORNEYS, Encourages AnaptysBio (ANAB) Investors Who Have Suffered Losses to Contact its Attorneys: TWO WEEK DEADLINE ALERT in Securities Fraud Class Action",http://www.globenewswire.com/news-release/2020/05/12/2032341/0/en/HAGENS-BERMAN-NATIONAL-TRIAL-ATTORNEYS-Encourages-AnaptysBio-ANAB-Investors-Who-Have-Suffered-Losses-to-Contact-its-Attorneys-TWO-WEEK-DEADLINE-ALERT-in-Securities-Fraud-Class-Acti.html,"ANAPTYSBIO, INC.",ANAB.OQ,-0.8555
1279,2020-05-16 21:00:00+00,"HAGENS BERMAN, NATIONAL TRIAL ATTORNEYS, Alerts RTI Surgical Holdings (RTIX) Investors: 6-DAY DEADLINE ALERT, Investors with Losses Encouraged to Contact Its Attorneys",http://www.globenewswire.com/news-release/2020/05/16/2034629/0/en/HAGENS-BERMAN-NATIONAL-TRIAL-ATTORNEYS-Alerts-RTI-Surgical-Holdings-RTIX-Investors-6-DAY-DEADLINE-ALERT-Investors-with-Losses-Encouraged-to-Contact-Its-Attorneys.html,"RTI SURGICAL HOLDINGS, INC.",RTIX.OQ,-0.8402
223,2020-05-07 02:12:00+00,Western Announces First Quarter 2020 Results and Suspends Quarterly Dividend,http://www.globenewswire.com/news-release/2020/05/07/2029015/0/en/Western-Announces-First-Quarter-2020-Results-and-Suspends-Quarterly-Dividend.html,WESTERN FOREST PRODUCTS INC.,WEF.TO,-0.8316
532,2020-05-13 05:30:00+00,Awilco Drilling PLC: Awilco Drilling Reports Q1 2020 Results,http://www.globenewswire.com/news-release/2020/05/13/2032407/0/en/Awilco-Drilling-PLC-Awilco-Drilling-Reports-Q1-2020-Results.html,AWILCO DRILLING PLC,AWDR.OL,-0.802
149,2020-05-04 07:31:00+00,Norsk Hydro: Fixed income investor meetings and contemplated bond issuance,http://www.globenewswire.com/news-release/2020/05/04/2026532/0/en/Norsk-Hydro-Fixed-income-investor-meetings-and-contemplated-bond-issuance.html,DANSKE BANK A/S,DANSKE.CO,-0.765
1864,2020-05-26 12:03:00+00,"Baltika’s Unaudited Financial Results, First Quarter of 2020",http://www.globenewswire.com/news-release/2020/05/26/2038605/0/en/Baltika-s-Unaudited-Financial-Results-First-Quarter-of-2020.html,Aktsiaselts BALTIKA,BLT1T.TL,-0.7184
627,2020-05-15 11:00:00+00,TG Therapeutics Announces Preclinical Data Presentation at the Upcoming American Association for Cancer Research Annual Meeting,http://www.globenewswire.com/news-release/2020/05/15/2034128/0/en/TG-Therapeutics-Announces-Preclinical-Data-Presentation-at-the-Upcoming-American-Association-for-Cancer-Research-Annual-Meeting.html,"TG THERAPEUTICS, INC.",TGTX.OQ,-0.7152
616,2020-05-15 11:30:00+00,Surface Oncology to Present Preclinical Data for Multiple Product Programs at the American Association for Cancer Research Annual Meeting,http://www.globenewswire.com/news-release/2020/05/15/2034157/0/en/Surface-Oncology-to-Present-Preclinical-Data-for-Multiple-Product-Programs-at-the-American-Association-for-Cancer-Research-Annual-Meeting.html,"SURFACE ONCOLOGY, INC.",SURF.OQ,-0.6369
